mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_min_child_weight,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.5264018535614013,0.07966603431948852,0.01280832290649414,0.004959709518241054,0.8,0.1,6,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-33501427638.890335,-36352265165.1735,-33018345301.080284,-35260911103.28859,-35153156197.71778,-34657221081.2301,1225180805.6876683,1
0.42204713821411133,0.05005370012395067,0.011513280868530273,0.003889784317210567,0.8,0.05,6,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-33281019502.880684,-36156329841.7329,-32808900919.174683,-35131654514.95058,-36164585146.613884,-34708497985.07054,1417154344.8638935,2
0.5341363430023194,0.05663864409390876,0.012662601470947266,0.0033742029122802598,0.8,0.1,6,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-34876885895.503334,-36003665689.97182,-33618406060.783794,-35212861383.81498,-34444345856.103745,-34831232977.235535,792837142.0810671,3
0.47070951461791993,0.03524038701275,0.018288707733154295,0.005486393895306887,0.8,0.05,6,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-33988155889.794888,-36002283840.2873,-32705603973.197777,-35774850059.63118,-36108395863.526306,-34915857925.28749,1348049634.7814279,4
0.45135064125061036,0.01859450257175588,0.008159255981445313,0.002401973741952525,1.0,0.1,6,3,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 0.8}",-33429662634.13117,-36758523628.11826,-34458823792.89161,-35443744579.73748,-35103796495.38572,-35038910226.05285,1100122667.3855636,5
0.3552862644195557,0.023378304836459845,0.022316932678222656,0.011803410685409911,0.8,0.05,6,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 3, 'n_estimators': 200, 'subsample': 1.0}",-34036773357.015034,-35720743131.67344,-34474482782.28677,-35480716130.94368,-35813226845.3361,-35105188449.451004,715618253.6462865,6
0.14903440475463867,0.0125116997005737,0.008885860443115234,0.001379956479024567,1.0,0.1,3,1,200,1.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-34964221972.70578,-35366983784.19142,-33705255729.9872,-34760983083.755905,-37208318604.613594,-35201152635.05078,1144011199.4750314,7
0.15497074127197266,0.020597465988638528,0.013097000122070313,0.0059459026173407405,0.8,0.1,3,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-35393321615.85811,-35519130382.98727,-32479549233.96653,-36285733424.75686,-36504326325.697815,-35236412196.65331,1443157982.4906702,8
0.5874161720275879,0.12598045332415053,0.019019031524658205,0.00571170141960727,0.8,0.1,6,1,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 1.0}",-33620374389.318855,-36027414524.52811,-34336137955.100643,-35830757258.32943,-36414617735.851776,-35245860372.62576,1075985556.8019152,9
0.6546757698059082,0.06118185638411299,0.02363276481628418,0.011399086222541554,0.8,0.1,6,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-35544176845.90967,-35963358853.083885,-33861474257.659103,-36613301734.32177,-34437945780.294266,-35284051494.25374,1003558743.7044158,10
0.8694526672363281,0.10602654416995713,0.01759505271911621,0.0015211633296402483,1.0,0.1,6,1,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-33492673877.40156,-36332196983.76363,-35077528250.090034,-35082722166.88973,-37353727643.18888,-35467769784.26677,1304271857.6140566,11
0.8260956764221191,0.0892975229886866,0.014294624328613281,0.0021506087466226158,1.0,0.05,6,1,200,0.8,"{'colsample_bytree': 1.0, 'learning_rate': 0.05, 'max_depth': 6, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-33725115815.5717,-36753772846.26885,-34462027715.25766,-35798564753.81797,-36635518557.97233,-35474999937.777695,1197911931.1731048,12
0.19703874588012696,0.018019792464528072,0.010577678680419922,0.003325900938983251,0.8,0.1,3,1,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.1, 'max_depth': 3, 'min_child_weight': 1, 'n_estimators': 200, 'subsample': 0.8}",-34663874653.45517,-36495233760.020775,-33312555890.912167,-36653007820.36182,-36357001301.95927,-35496334685.34184,1306776082.9859517,13
