Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Johan Huizingastraat 30,Alkmaar,650000,272,162,1992,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,B,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, tuin en zijtuin",278
Dorpstraat 32,Dreumel,750000,18,351,1936,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen,9,7,"2 woonlagen, een zolder en een kelder",2,1,1,0,A+,Aan rustige weg en in centrum,"Achtertuin, tuin rondom, tuin, zijtuin en zonneterras",261
De Krom 34,Katwijk (ZH),449000,128,132,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,5,2 woonlagen en een zolder,2,0,1,0,A,Beschutte ligging en in woonwijk,Achtertuin en tuin,2215
Rosendaal 75,Heiloo,499000,156,117,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan park en in woonwijk,Achtertuin en tuin,19
Haarstraat 104,Rijssen,429000,323,144,1910,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Schilddak bedekt met pannen,7,6,2 woonlagen en een zolder,2,0,1,0,F,"Aan drukke weg, in centrum en in woonwijk",Achtertuin,1415
Hakselseweg 22,Ede,360000,203,87,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een vliering,2,0,0,1,D,,Achtertuin en tuin,2735
Kaninefatendreef 6,Alphen aan den Rijn,600000,180,140,2002,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning (waterwoning)",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,4,3 woonlagen en een vliering,3,0,0,1,A,"Aan water, beschutte ligging en in woonwijk",Achtertuin en tuin,1595
Rijnlaan 232,Utrecht,549000,105,107,1934,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,5,2 woonlagen en een zolder,2,0,1,0,D,In woonwijk,Achtertuin,924
Badhuislaan 62,Bussum,750000,200,139,1923,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,7,5,"2 woonlagen, een zolder en een kelder",2,1,1,0,E,Aan rustige weg en in woonwijk,tuin en zijtuin,115
Rostockstraat 140,Lelystad,389500,130,116,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin,1825
Molenhof 4,Kampen,297500,89,101,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,3,2,3 woonlagen,3,0,0,0,A,"Aan rustige weg, in centrum en in woonwijk",tuin,518
Meester Jochemsstraat 20,Meijel,298000,282,84,1964,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5,2,2 woonlagen en een zolder,2,0,1,0,C,Aan rustige weg en in woonwijk,"Achtertuin, tuin en zijtuin",514
Tepestraat 5,IJsselstein,395000,131,108,1999,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4,3,2 woonlagen,2,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,450
Steenweg 40,Moerdijk,350000,215,147,1950,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een zolder,2,0,1,0,C,,Achtertuin,1015
Schuttershof 4,Arnemuiden,199000,152,101,1914,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,3,2,2 woonlagen en een vliering,2,0,0,1,D,In woonwijk,Achtertuin,1305
Jonkerveld 413,Uden,325000,145,133,1972,Bestaande bouw,"Eengezinswoning, eindwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,C,In woonwijk,Achtertuin en tuin,291
Annie van Hattemtuin 23,Heerhugowaard,650000,327,145,2003,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,A,Aan water en in woonwijk,"Achtertuin, tuin en zijtuin",152
Speeldries 1,Eersel,500000,320,146,1973,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,5,4,2 woonlagen,2,0,0,0,C,Aan rustige weg,"Achtertuin, tuin en zijtuin",945
Kuyckshof 7,Meteren,385000,130,124,2012,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,2,3 woonlagen,3,0,0,0,A+,In woonwijk,Achtertuin en tuin,970
Dr JR Thorbeckelaan 130,Heemstede,395000,158,117,1961,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,D,,Achtertuin en tuin,114
Bisschop Rythoviusdreef 1 a,Riethoven,1795000,5078,612,1998,Bestaande bouw,"Villa, vrijstaande woning",Schilddak bedekt met pannen,7,3,2 woonlagen en een kelder,2,1,0,0,B,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,145
Esdoornlaan 3,Wormerveer,295000,143,90,1931,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4,3,3 woonlagen,3,0,0,0,F,Aan drukke weg en in woonwijk,"Achtertuin, tuin en zijtuin",747
Hertogstraat 2 a,Sprundel,525000,372,160,1991,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,In centrum en in woonwijk,"Achtertuin, tuin en zijtuin",3785
Giek 22,Huizen,405000,158,126,1969,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak bedekt met bitumineuze dakbedekking,4,3,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,3825
Woenselsestraat 337 339,Eindhoven,995000,465,251,1930,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8,6,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin,237
