Address,City,Price,Lot size (m2),Living space size (m2),Build year,Build type,House type,Roof,Total Rooms,Bedrooms,Floors,Total Floors,Basement(kelder),Attic(zolder),Loft(vliering),Energy label,Position,Garden,Estimated neighbourhood price per m2
Bovenweg 223,Sint Pancras,525000,251,135,1972,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,D,,"Achtertuin, tuin en zijtuin",6035
Juliastraat 19,Waddinxveen,425000,181,109,1935,Bestaande bouw,"Herenhuis, geschakelde 2-onder-1-kapwoning",Schilddak bedekt met bitumineuze dakbedekking en pannen,4,3,3 woonlagen,3,0,0,0,E,Aan rustige weg en in woonwijk,Achtertuin en tuin,1435
Kuipersgilde 3,Houten,575000,198,138,1986,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin,1855
De Kamp 1 A,Pannerden,259500,231,92,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,"Achtertuin, tuin en zijtuin",219
Wildrijklaan 8,Sassenheim,1050000,423,210,2000,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,6,5,4 woonlagen en een kelder,4,1,0,0,A,"Aan rustige weg, aan water, beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, tuin en zijtuin",134
Tol 4,Oudewater,445000,127,126,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,1745
Furkabaan 698,Utrecht,425000,170,87,1984,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,3,2 woonlagen en een vliering,2,0,0,1,C,In woonwijk,Achtertuin en tuin,708
Abeelstraat 71,Dordrecht,825000,413,232,1974,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,6,3 woonlagen,3,0,0,0,D,In woonwijk,Achtertuin en tuin,509
Overegge 8,Zuidveen,249500,235,124,1920,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak,5,4,2 woonlagen,2,0,0,0,G,"Aan rustige weg, beschutte ligging en in centrum",tuin en zijtuin,580
Gaasterland 59,Amstelveen,550000,137,111,1992,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,4,3,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,204
Oostopgaande 53,Nieuwlande,859000,544,300,2017,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,9,7,3 woonlagen,3,0,0,0,A,"Aan rustige weg, aan water, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Tuin rondom,60
Ghijseland 198,Rhoon,389000,290,108,1973,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,131
Diedenweg 10 A,Ede,349000,281,80,,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,3,2,2 woonlagen,2,0,0,0,F,In woonwijk,"Achtertuin, tuin en zijtuin",
Klaverbeemd 4,Terheijden,399000,219,129,1976,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin,
Burgemeester Schoutenstraat 13,Schaijk,495000,371,141,1988,Bestaande bouw,"Bungalow, geschakelde woning (semi-bungalow)",Zadeldak bedekt met pannen,3,2,2 woonlagen,2,0,0,0,C,In centrum en in woonwijk,"Achtertuin, tuin en zijtuin",622
Bouwhuisweg 10,Nieuwleusen,560000,251,129,1967,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4,3,2 woonlagen,2,0,0,0,E,"Aan rustige weg, beschutte ligging, buiten bebouwde kom, in woonwijk, landelijk gelegen en vrij uitzicht",Tuin rondom,144
Kerkstraat 20,Linden,425000,560,99,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een vliering,2,0,0,1,D,Vrij uitzicht,Achtertuin,220
Kariehof 25,Ermelo,415000,191,131,1974,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,616
Vlasven 33,Veghel,310000,82,80,2012,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,4,2,3 woonlagen,3,0,0,0,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en tuin,2045
Mozartdreef 24,Veenendaal,525000,280,131,1990,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,3,3 woonlagen,3,0,0,0,C,"Aan park, aan rustige weg en in woonwijk",Achtertuin en tuin,259
Waardenborchstraat 28,Holten,289000,333,89,1963,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,3,2 woonlagen en een zolder,2,0,1,0,F,Aan rustige weg en in woonwijk,Tuin rondom,285
Schrijvershoeve 22,Helmond,385000,140,119,2017,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en tuin,3035
Vinkenbaan 5,Gilze,325000,134,106,2009,Bestaande bouw,"Eengezinswoning, eindwoning",Samengesteld dak bedekt met pannen,4,3,2 woonlagen,2,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,3286
Sierra Nevada 70,Assendelft,485000,130,126,2008,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen en een vliering,3,0,0,1,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,9455
Culenhof 48,Nuenen,335000,135,91,2009,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning (kwadrant woning)",Lesseardak bedekt met metaal,5,3,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,825
Gentiaanstraat 84,Apeldoorn,315000,153,135,1971,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en tuin,4075
Bovenste Boord 17,Linne,675000,1146,233,1976,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9,4,2 woonlagen,2,0,0,0,C,Aan rustige weg,Tuin rondom,361
Tilburgweg 45,Arnhem,275000,153,90,1984,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,598
St Gertrudislaan 11,Eindhoven,595000,238,124,1953,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6,4,2 woonlagen en een zolder,2,0,1,0,A,,Achtertuin en tuin,182
Meerstraat 35,Hillegom,389000,109,127,1920,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,In centrum,Achtertuin,1865
Onyx 7,'s-Gravenzande,450000,143,132,1978,Bestaande bouw,"Eengezinswoning, tussenwoning",Lesseardak,5,3,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,183
Barend Kuisstraat 42,Nijkerk,275000,158,98,1988,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,2385
Aart van der Leeuwstraat 8,Gorinchem,540000,240,154,1994,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,267
Indusstraat 38,Spijkenisse,525000,192,139,1987,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en tuin,1055
Baardmosstraat 3,Purmerend,389000,126,116,1985,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4,3,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin,5715
Lankforst 4205,Nijmegen,275000,165,132,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,204
Jadeplantsoen 17,Almere,325000,144,80,1996,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4,3,2 woonlagen,2,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,5345
Lindestraat 10,St Willebrord,825000,1427,304,2012,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8,4,2 woonlagen en een zolder,2,0,1,0,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,896
Prinsenstraat 7,Rijssen,359000,283,139,1952,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,5285
Hoenderhof 4,Delfzijl,165000,153,95,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4,3,2 woonlagen,2,0,0,0,A,,Achtertuin en tuin,1165
De chtegaal 22 G,Surhuisterveen,375000,6167,128,2022,Bestaande bouw,"Eengezinswoning, hoekwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4,2,2 woonlagen,2,0,0,0,A+++,"Aan rustige weg, beschutte ligging, in woonwijk, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin en zijtuin",558
Eline Verelaan 17,Oosterhout (NB),450000,236,142,1999,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,,Achtertuin en tuin,267
Watermunt 86,Tegelen,615000,178,191,2001,Bestaande bouw,"Eengezinswoning, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,6,5,3 woonlagen en een kelder,3,1,0,0,A,"Aan water, in woonwijk en vrij uitzicht",Patio/atrium en tuin,125
poleonshoed 41,Oosterhout (NB),420000,134,118,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,4,2,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin en tuin,1415
Bovendonksestraat 47,Hoeven,425000,305,116,1967,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een zolder,2,0,1,0,B,In woonwijk,"Achtertuin, tuin en zijtuin",4765
Kleine Hassel 6,Lage Mierde,300000,129,90,2005,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,4,3,3 woonlagen,3,0,0,0,A,"Aan rustige weg, in bosrijke omgeving en in woonwijk",Achtertuin,1395
Rosmolen 100,Alphen aan den Rijn,650000,233,244,1989,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,10,4,3 woonlagen en een vliering,3,0,0,1,C,Beschutte ligging en in woonwijk,Achtertuin en tuin,222
Eisenhowerstraat 1,Oss,289000,226,99,1960,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Plat dak,6,4,3 woonlagen,3,0,0,0,E,In woonwijk,Achtertuin en tuin,555
CM van Reesstraat 8,Sliedrecht,299000,119,94,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,5,4,2 woonlagen en een zolder,2,0,1,0,G,In woonwijk,Achtertuin en zijtuin,204
Rietmeent 75,Almere,385000,127,123,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,4,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,2245
't Muurke 2,Wanroij,425000,186,125,1965,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met overig en pannen,7,4,2 woonlagen,2,0,0,0,G,"Aan rustige weg, buiten bebouwde kom, in bosrijke omgeving, landelijk gelegen en vrij uitzicht",Achtertuin en tuin rondom,233
Osingastate 15,Leeuwarden,267500,140,119,1979,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Plat dak bedekt met bitumineuze dakbedekking en pannen,6,5,2 woonlagen en een zolder,2,0,1,0,D,Aan rustige weg en in woonwijk,Achtertuin,4055
Kamp 13 33,Lelystad,315000,200,110,1981,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,"Aan park, aan rustige weg en in woonwijk","Achtertuin, tuin en zijtuin",1915
Meester A Datemalaan 8,Kesteren,545000,258,117,2020,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,1225
Prins Mauritslaan 156 E,Den Haag,945000,228,171,1998,Bestaande bouw,"Herenhuis, 2-onder-1-kapwoning",Mansarde dak bedekt met bitumineuze dakbedekking en pannen,5,3,3 woonlagen,3,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin en tuin,9775
Bromhaar 11,Nieuw Heeten,325000,268,122,1976,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een zolder,2,0,1,0,B,Aan rustige weg en in woonwijk,Achtertuin,710
Waterhoefweg 13,Oisterwijk,462500,414,139,1970,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Achtertuin en zijtuin,3802
Prinsenlaan 32,Emmen,425000,1037,152,1949,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,5,3 woonlagen en een kelder,3,1,0,0,C,In centrum,"Achtertuin, tuin en zijtuin",1475
Heerstraat 32,Maasbommel,395000,1275,135,1926,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,8,4,2 woonlagen,2,0,0,0,C,"Aan rustige weg, landelijk gelegen en vrij uitzicht",Tuin rondom,605
Bolderik 21,Venray,249000,178,118,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5,3,3 woonlagen,3,0,0,0,C,In woonwijk,Achtertuin en tuin,17
Saltholm 6,Zaandam,599000,234,121,1995,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak bedekt met bitumineuze dakbedekking,4,3,2 woonlagen,2,0,0,0,B,In woonwijk,"Patio/atrium, tuin en zonneterras",131
Hanendorperweg 25,Emst,425000,597,92,1952,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,4,3 woonlagen en een kelder,3,1,0,0,E,Aan rustige weg en in centrum,"Achtertuin, tuin, zijtuin en zonneterras",14
Dr Ramaerlaan 26,Castricum,399000,219,72,1915,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,3,2,2 woonlagen,2,0,0,0,Niet verplicht,In bosrijke omgeving en in woonwijk,"Achtertuin, tuin en zijtuin",206
Middenweg 71 C,Middenbeemster,979000,1754,284,1988,Bestaande bouw,"Eengezinswoning, geschakelde woning",Samengesteld dak,7,5,2 woonlagen,2,0,0,0,A,"Aan rustige weg, aan water, beschutte ligging, landelijk gelegen, open ligging en vrij uitzicht","Achtertuin, tuin en zijtuin",4265
Zandhovenstraat 4,Breda,325000,179,127,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,6,4,3 woonlagen en een vliering,3,0,0,1,C,Aan water en in woonwijk,Achtertuin en tuin,426
Rivierdijk 655,Sliedrecht,1250000,830,316,1890,Bestaande bouw,"Eengezinswoning, vrijstaande woning (dijkwoning)",Zadeldak bedekt met pannen,6,3,3 woonlagen en een vliering,3,0,0,1,E,Aan rustige weg,Achtertuin en tuin,445
Weerdingerweg 27,Valthe,479000,3845,180,1925,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,5,2 woonlagen en een kelder,2,1,0,0,C,In bosrijke omgeving en vrij uitzicht,Tuin rondom,
Wilhelmistraat 15,Meteren,375000,171,84,1920,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met pannen en riet,3,2,2 woonlagen,2,0,0,0,G,Aan rustige weg,Achtertuin en zijtuin,845
Strammerboogh 19,Akersloot,275000,152,76,1986,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een vliering,2,0,0,1,C,In woonwijk,Achtertuin en tuin,341
Zwarteweg 15,Leusden,845000,570,154,1966,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,7,5,3 woonlagen en een kelder,3,1,0,0,B,In centrum en in woonwijk,"Achtertuin, tuin en zijtuin",1235
Roer 9,Deurne,315000,139,178,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,3,2 woonlagen en een zolder,2,0,1,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,4055
Frans Halslaan 13,Akersloot,350000,145,118,1968,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,341
Hondstong 8,Heemskerk,750000,364,128,1989,Bestaande bouw,"Bungalow, geschakelde woning",Plat dak,3,2,1 woonlaag,1,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,2525
Rijksweg 31,Nuland,739000,1127,163,1962,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,3 woonlagen en een kelder,3,1,0,0,C,,Tuin rondom,3495
Drieseweg 6,Putten,550000,345,137,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,6,4,2 woonlagen en een kelder,2,1,0,0,C,"Aan rustige weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en tuin,628
Dorpsstraat 16 a,Zieuwent,369000,365,142,1974,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,C,In centrum,"Achtertuin, tuin en zijtuin",1095
Richtershof 35,Kapel Avezaath (Gem Tiel),355000,128,93,2010,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,A,In woonwijk en vrij uitzicht,Achtertuin en tuin,500
Groningerstraat 157,Assen,399000,335,143,1934,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Schilddak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,B,Aan drukke weg en beschutte ligging,Achtertuin en tuin,181
Noordlandseweg 77 C,'s-Gravenzande,850000,145,162,1964,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,4,2 woonlagen en een vliering,2,0,0,1,E,Aan drukke weg en vrij uitzicht,Tuin rondom,3215
Dennekruid 210,Rotterdam,427500,156,137,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,2573
Singel 250,Vlissingen,239500,173,94,1933,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,F,Aan rustige weg en in woonwijk,Achtertuin en zonneterras,765
Waalsteenhof 15,Hillegom,649000,211,144,2017,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,A,"Aan park, aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, tuin en zijtuin",710
De Gijster 72,Made,579000,527,137,1997,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,A,In woonwijk,Achtertuin,
Noordstraat 5,Poortvliet,415000,792,159,1915,Bestaande bouw,"Eengezinswoning, halfvrijstaande woning",Zadeldak bedekt met pannen,5,4,2 woonlagen,2,0,0,0,F,Aan rustige weg en in centrum,"Achtertuin, tuin en zijtuin",126
Muidenstraat 23,Emmeloord,285000,164,138,1980,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,328
Buitenerf 132,Breda,390000,270,132,1982,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6,3,2 woonlagen,2,0,0,0,B,Aan rustige weg en in woonwijk,Achtertuin,423
Fluitenkruid 4,Gorinchem,650000,287,162,2018,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7,6,4 woonlagen,4,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,305
Heukelom 7,Afferden (LI),749000,1793,200,2004,Bestaande bouw,"Landhuis, vrijstaande woning",Zadeldak bedekt met pannen,6,4,2 woonlagen en een kelder,2,1,0,0,A,Buiten bebouwde kom en open ligging,Tuin rondom,455
Maanglans 28,Amersfoort,419000,101,132,1997,Bestaande bouw,"Eengezinswoning, tussenwoning (drive-in woning)",Plat dak,5,4,3 woonlagen,3,0,0,0,A,Aan water en in woonwijk,tuin en zonneterras,3339
Emmapark 3,Wageningen,599000,129,140,1941,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,F,In centrum,Achtertuin en tuin,292
Dwarsweg 4,Elp,485000,915,243,1970,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met overig,4,2,2 woonlagen,2,0,0,0,B,"Aan rustige weg, in bosrijke omgeving en vrij uitzicht","tuin, zijtuin en zonneterras",320
Van Lingelaan 81,Maarssen,689000,288,154,1989,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,C,Aan water en in woonwijk,Achtertuin en tuin,
Lebuinusstraat 19,Doetinchem,530000,511,210,1979,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,7,4,2 woonlagen,2,0,0,0,C,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, tuin en zijtuin",193
Straat van Dover 88,Amersfoort,539000,133,125,2018,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,2325
Trix Terwindtstraat 17,Spijkenisse,429900,165,132,1991,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4,3,2 woonlagen en een zolder,2,0,1,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,2735
Brouwhuis 49,Blokker,285000,140,110,1981,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,,Achtertuin en tuin,101
Liefkenshoek 26,Riel,600000,530,189,1972,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6,4,3 woonlagen,3,0,0,0,C,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Achtertuin en tuin,2325
Mariënstein 84,Heiloo,495000,187,119,,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,In woonwijk en vrij uitzicht,Achtertuin en tuin,24
Cornelis Troostlaan 3,Heeze,800000,1233,255,1974,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,12,6,3 woonlagen,3,0,0,0,A,,Achtertuin en tuin,918
Boterbloem 17,Zeeland,419000,288,109,1990,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,C,Aan rustige weg,"Achtertuin, tuin en zijtuin",4875
Madernolaan 11,Eindhoven,425000,205,163,1965,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,7,5,2 woonlagen en een zolder,2,0,1,0,E,Aan rustige weg en in woonwijk,Achtertuin en tuin,474
Laakboulevard 162,Amersfoort,649000,181,183,2005,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6,4,4 woonlagen,4,0,0,0,A,Aan rustige weg en in woonwijk,Achtertuin en tuin,3558
Mantingerzand 71,Ede,395000,145,115,2016,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,A,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin,2025
Cor van Osbruggelaan 98,schoten,1175000,497,218,1995,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak,6,4,3 woonlagen,3,0,0,0,B,"Aan rustige weg, aan vaarwater, aan water, beschutte ligging en in woonwijk",Tuin rondom,282
Stoelenmatter 20,Best,375000,154,103,1979,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5,3,3 woonlagen,3,0,0,0,C,In woonwijk,Achtertuin en tuin,1685
de Weide 8,Lopik,295000,148,108,1976,Bestaande bouw,"Eengezinswoning, eindwoning",Plat dak,4,3,2 woonlagen,2,0,0,0,C,,Achtertuin en tuin,553
Jhr Ruys de Beerenbroeckstraat 3,Veghel,365000,357,132,1969,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6,5,3 woonlagen,3,0,0,0,C,Aan rustige weg en in woonwijk,Achtertuin en tuin,135
Meester Haddersstraat 12,Wijster,650000,1674,186,1985,Bestaande bouw,"Woonboerderij, vrijstaande woning",Zadeldak bedekt met riet,5,3,1 woonlaag en een zolder,1,0,1,0,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en tuin rondom,735
Aalsburg 1420,Wijchen,375000,133,132,1972,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,6,4,3 woonlagen,3,0,0,0,B,In woonwijk en vrij uitzicht,Achtertuin en tuin,128
Eibert den Herderstraat 18,Harderwijk,375000,220,121,1980,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5,4,3 woonlagen,3,0,0,0,B,In woonwijk,"Achtertuin, tuin rondom en tuin",810
